feature_1,Category,Family,Type,Length,Family and Type,Type Id,Type Name,Family Name,Base Offset,Top Offset,Volume,Structural Material,Area,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Width,Foundation Thickness,Structural Usage,Elevation from Level,Offset,Mark,Thickness,Unconnected Height,Base Offset From Level,Maximum Ridge Height,Absorptance,Default Thickness,Coarse Scale Fill Color,Height Offset From Level,Perimeter,Sill Height,Head Height,Wall Closure,Panel Width,Location Line,Number,price
256,18,6,54,103830.59849219372,6,6,6,24,1082.6201566427835,-2073.3435673086133,1,8641600.705827843,27,39763.02287250337,38212.52786156834,39476.76676525719,38172.18953547363,1348.1620399729168,255.117536925901,0.4899949037112429,-23296.61674385555,49.56690151012141,4454.415325893721,212.74055790156825,1348.5905866911376,305.61003312225097,45160.858895525336,0.09999999999999998,15.176899645584914,5635048.134393834,570.905625908731,33307.03265255154,-166.83905250974328,971.0370099048126,1.5139486130345787,1145.0286627382607,0.07878098975574943,2.3901438011014213,224266.71270203762
184,2,6,26,53308.79588334209,13,17,5,3,1496.0548992376948,-2452.439610206856,44,2500272.28169727,13,41551.62936763494,37821.217308507374,39504.77409069655,38028.039740467204,4491.7394772391945,256.21647553024445,0.2007708063101873,-29054.005914934492,12.47662823478089,1613.278354619683,182.67033306415527,2331.0025109264216,512.2151541629688,43990.62900504776,0.09999999999999998,26.124981652089588,9551192.673108933,627.1445551907099,59838.410865125,866.3777209859707,624.1545030217611,3.342371388623034,835.38789199915,1.086743079743958,3.430245124193273,224266.71270203762
89,9,13,6,50716.0941979028,6,29,6,24,633.5322330532222,-314.11474281390065,15,2251279.423360188,8,38311.3394601048,38757.59861053342,39398.07863878406,38038.55647986791,3375.939868867001,280.7953153169804,0.5555962608775533,-24021.537808464516,10.106936177262615,321.7344728620868,123.51289575772991,2653.6572101071392,858.4766124325017,44623.40265618215,0.09999999999999996,194.85202932933117,12657590.200433493,21.919358791837396,43568.284046497465,869.6318814234553,532.6528584594405,2.8830307576993843,1089.1167528681408,1.3685692233419764,1.3794961209060084,224266.71270203762
47,4,13,45,96460.77818603095,26,5,6,5,-405.6640558910832,-1666.8532402117394,25,3385248.078759081,30,40710.9645380384,38474.93568259401,39786.918898710566,38129.04137712443,878.3201732856538,274.0574009474003,0.33318064112588397,-18989.15974225007,24.2198710292369,4260.045929327226,244.30436913380714,1530.5783479212948,188.10460004358066,45220.45009983143,0.09999999999999988,133.38211953109675,6896329.789029536,1097.0478189911544,53946.18327512143,-256.97881971934817,1439.1636164408333,2.080437374444155,1183.081953227095,0.003687041834614213,2.887192462061842,224266.71270203762
222,17,6,1,94085.25118985481,26,26,5,34,1734.6742618736212,2355.4415685765653,2,1581165.4717330616,15,38521.543966974474,37964.73144820949,42176.21372114273,38215.66712505082,2490.847231919944,295.191563026656,0.940869221470347,-37990.87777630873,41.766920562015926,2135.2250513550753,190.6885711782753,2415.544645536123,503.84994152038655,44379.217067145466,0.09999999999999985,68.5034437404714,12842049.260275668,1912.7739762076712,94234.87859404329,76.29381305234512,1224.5302383519488,1.5291991532162243,1216.5953292144136,1.1183425515690737,2.394901299470764,224266.71270203762
265,17,6,29,52943.6621308033,54,6,1,9,-544.4269490936127,1473.5526133945245,20,2805725.805784607,4,41982.93010275012,37737.042733453614,42199.19581781821,38018.23992975513,1797.506913732325,251.63984264337307,0.12225188500401307,-5876.222013118437,7.084140925629945,6107.583935218423,105.0015572129737,2658.835746534408,214.10073161226677,44945.54325850427,0.09999999999999991,193.89723171074493,12410171.80157762,1759.7686177992455,13257.909180628278,-266.9646137842934,1991.2926189119032,3.0875182008362696,1121.0612276198126,1.4826118936454304,3.18876004988359,224266.71270203762
61,11,1,50,73033.33472706427,5,37,1,3,265.1388792613236,808.5540357776517,82,10159821.760072345,13,41837.522774317156,38178.70027531689,38683.4330216006,38685.9007550741,2042.6678022902288,239.6856448179364,0.9542492179995808,-25893.547993505737,45.217335743845496,3882.7885369737073,119.41689151079433,1503.9036897155504,397.1627090058509,43110.66090817258,0.09999999999999991,241.75612814974025,11007338.904028928,119.38533646674398,94005.29460960384,645.6303039751058,1791.142805497656,2.5444545176049056,1143.6034537983376,0.9404809890289556,1.3432178387005496,224266.71270203762
132,0,6,5,65429.943153642664,1,32,52,26,579.11861788949,-513.3141515505195,23,4460783.807048104,1,38256.50223613964,37904.528252681,39698.95161749959,38687.33044719935,2941.1806307854386,289.99854311134084,0.4740886270301852,-29579.331303199095,5.031939761547477,1062.7502456850884,170.79591716362185,1632.9491884384115,190.9374478846913,43638.69212299024,0.09999999999999999,21.06378435443622,994083.814283535,144.29708225596755,85225.54172836409,-26.58948959680447,404.7224849729782,0.4029552984874267,816.5625032618539,1.3635435932504827,2.1140091965487158,224266.71270203762
137,17,44,17,103291.5988906364,6,43,6,24,2105.684677717892,-1394.478122144219,2,3647562.68912737,0,39070.96715715833,38055.96765362014,38754.10932767133,38482.10470117385,2497.8793564100565,250.5506807440692,0.8497074068611519,-35104.60691066092,31.552967618610587,3685.202566541192,64.29147661172297,3967.88036308691,556.8974189996267,44681.50550641699,0.09999999999999999,150.56139657087147,8806493.413427757,657.1267441108224,14905.79139498424,365.2185623809743,1604.7728622039288,1.0395808898794416,1143.7797524556624,0.04668693686750336,1.0155995929630404,224266.71270203762
70,4,26,1,14417.701243906704,51,54,8,7,2713.0051140047317,-1709.0724476983037,6,562644.301790344,19,40036.58472222373,38322.60486750039,39069.74104557142,38927.269896899816,3192.9968747468156,253.97048572202144,0.5469506102399231,-33131.89826078906,35.93372817203279,1567.533106645979,208.64893409259963,1498.9768886205431,700.5748293446051,44077.52139859,0.09999999999999994,20.247153636963418,9828804.754189806,242.20077676497237,50513.1253554876,635.7344544572802,572.2612884917172,1.5896498655391174,897.6835791190293,0.6270798080141886,3.1412174512740423,224266.71270203762
