feature_1,Design Option,Category,Family,Type,Horizontal Profile Offset,Vertical Profile Offset,Length,Family and Type,Type Id,Phase Created,Phase Demolished,Angle,Profile,Type Name,Family Name,Material,Base Level,Base Offset,Column Style,Level,Moves With Grids,Top Level,Top Offset,Volume,Host Id,Structural Material,Base Connection,Enable Analytical Model,Top Connection,Ht,b,kr,t,Keynote,A,Section Shape,Shape,W,Eccentricity,Area,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Width,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Default End Extension Length,Do Not Break At Inserts,Foundation Thickness,Structural Usage,Elevation from Level,Host,Schedule Level,Offset,Mark,AssetIdentifier,BarCode,Assembly Description,Description,EAN code,Installation instructions,Manufacturer,Model,OmniClass Number,OmniClass Title,Product Guid,Product data url,Technical description,Type Comments,Type Mark,URL,Thickness,Base Constraint,Top Constraint,Unconnected Height,Corner Mullion,Position,Width on side 1,Width on side 2,Wardrobe-Door,Blanket visibility,Base Offset From Level,Cutoff Level,Cutoff Offset,Related to Mass,Room Bounding,Fascia Depth,Maximum Ridge Height,Rafter Cut,Slope,Absorptance,Roughness,Default Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Height Offset From Level,Perimeter,Span Direction,Structural,Display in Hidden Views,Glazing Type,Sill Height,Head Height,FRAME,Analytic Construction,Wall Closure,Core Frame Length,Core Frame Width,Full Door Handle Height,Full Panel Height,Lower Handle Height,Mid Rail Height,Panel Width,Full Height Door,MidRail,No MidRail,Top Panel Visible,Base Extension Distance,Base is Attached,Location Line,Top Extension Distance,Top is Attached,Wrapping at Ends,Wrapping at Inserts,Justification,Number,Automatically Embed,Curtain Panel,Join Condition,Adjust for Mullion Size,Layout,Spacing,Border 1 Type,Border 2 Type,Interior Type
7738377,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10973195,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11008197,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10445184,None,OST_Fascia,Fascia,Fascia,0,-200,127094,Fascia,Fascia,New Construction,None,0.00°,38x200,Fascia,Fascia,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10887467,None,OST_StructuralColumns,SHS150x150x9,SHS150x150x9,,,3663,SHS150x150x9,SHS150x150x9,New Construction,None,,,SHS150x150x9,Rectangular and Square Hollow Sections-Column,,00 GROUND,-500,0,00 GROUND,Yes,02 ROOF 1,-2537,0.02 m³,None,85087,None,Yes,None,150,150,18,9,103.2.1,0 m²,0,Square,0.369711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10939986,None,OST_StructuralColumns,SHS150x150x9,SHS150x150x9,,,4037,SHS150x150x9,SHS150x150x9,New Construction,None,,,SHS150x150x9,Rectangular and Square Hollow Sections-Column,,00 GROUND,-500,0,00 GROUND,Yes,02 ROOF 1,-2163,0.02 m³,None,85087,None,Yes,None,150,150,18,9,103.2.1,0 m²,0,Square,0.369711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10784145,None,OST_StructuralFoundation,Bearing Footing - 900 x 300,Bearing Footing - 900 x 300,,,1900,Bearing Footing - 900 x 300,Bearing Footing - 900 x 300,New Construction,None,,,Bearing Footing - 900 x 300,Wall Foundation,,,,,,,,,0.51 m³,,523,,Yes,,,,,,101.3,,,,,0,2 m²,37500,37500,37800,37800,900,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,0,No,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782646,None,OST_StructuralFoundation,Bearing Footing - 700x230,Bearing Footing - 700x230,,,400,Bearing Footing - 700x230,Bearing Footing - 700x230,New Construction,None,,,Bearing Footing - 700x230,Wall Foundation,,,,,,,,,0.06 m³,,523,,Yes,,,,,,101.3,,,,,0,0 m²,37570,37570,37800,37800,700,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,0,No,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782659,None,OST_StructuralFoundation,Bearing Footing - 700x230,Bearing Footing - 700x230,,,4601,Bearing Footing - 700x230,Bearing Footing - 700x230,New Construction,None,,,Bearing Footing - 700x230,Wall Foundation,,,,,,,,,0.79 m³,,523,,Yes,,,,,,101.3,,,,,0,3 m²,37570,37570,37800,37800,700,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,0,No,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782672,None,OST_StructuralFoundation,Bearing Footing - 700x230,Bearing Footing - 700x230,,,8493,Bearing Footing - 700x230,Bearing Footing - 700x230,New Construction,None,,,Bearing Footing - 700x230,Wall Foundation,,,,,,,,,1.29 m³,,523,,Yes,,,,,,101.3,,,,,0,6 m²,37570,37570,37800,37800,700,Rebar Cover 1,Rebar Cover 1,Rebar Cover 1,0,No,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
